Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
O.J. Mayo,,5.6,4.2,3.5,3.4,2.8,2.4,0.1,-0.1,NA,NA
Carlos Delfino,88.2,4.8,4,3.5,3.5,2.9,2.4,1,0.5,NA,NA
John Williamson,87.0,5.1,4.2,3.9,3.4,3.3,2.8,1.3,-0.3,NA,NA
Jeremy Lamb,86.8,5.3,4.9,3.3,2.7,2.7,1.6,0.2,NA,NA,NA
George Senesky,85.6,6.2,4.4,3.6,2.6,2.3,2,0.5,0.3,NA,NA
Jeremy Lin,84.6,5.4,4.4,3.5,2.7,2.7,2.1,2.1,0.5,0,NA
Šarūnas Marčiulionis,84.3,6.4,3.8,3,2.6,2.5,2.3,-0.5,NA,NA,NA
Vincent Askew,84.2,6,4.6,4.3,2.9,2.7,1.5,0.2,0.2,-0.2,NA
Darwin Cook,83.8,6,3.9,3.6,3,2.7,1.6,1.2,0.9,NA,NA
Cory Joseph,83.8,4.5,3.5,3.5,3.4,3.1,2.9,0.9,0,NA,NA
Lionel Hollins,83.5,5.2,4,3.4,2.9,2.5,2.3,1.8,0.6,0.1,0.1
