,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,TOV,PF,PTS
1963-64,23,NYK,NBA,,4,,,,,,1,3,,,,,,,9
1967-68,27,INA,ABA,,7,,1,,,,8,13,,,,,,,21
1968-69,28,INA,ABA,,7,,0,,,,7,11,,,,,,,17
Career,,,TOT,,7,,,,,,8,13,,,,,,,21
,,,NBA,,4,,,,,,1,3,,,,,,,9
,,,ABA,,7,,1,,,,8,13,,,,,,,21
,,,,,,,,,,,,,,,,,,,
2 Seasons,,INA,ABA,,7,,1,,,,8,13,,,,,,,21
1 Season,,NYK,NBA,,4,,,,,,1,3,,,,,,,9
