Thru 3 Years,Thru 3 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3
Jerry Harkness,,2.9,0.5,0
Johnny McCarthy,90.2,2.6,0.5,-0.1
Shammond Williams,88.2,2.9,0.2,0
Cory Joseph,87.6,2.9,0.9,0
Steve Blake,86.3,2.8,0.7,0.3
Matt Carroll,85.4,2.6,0.7,0
Mike McGee,84.4,2.8,0.2,0.2
Bob Weiss,84.4,2.9,0.1,0
Goran Dragić,84.1,2.8,1,0.1
Franklin Edwards,84.0,2.7,0.2,0.1
Vincent Askew,82.7,2.9,0.2,-0.2
