Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Jerry Harkness,,2.9,0.5,0,NA,NA,NA
Danuel House,80.6,2.3,0.6,0,NA,NA,NA
Kevin Joyce,74.5,3,0.6,-0.7,NA,NA,NA
Ticky Burden,73.2,2.6,0,0,NA,NA,NA
Harold Ellis,69.3,2.8,0.9,0.9,NA,NA,NA
Travis Mays,65.9,2.1,0.3,0,NA,NA,NA
Kenny Rollins,65.2,2.6,1.5,0.1,NA,NA,NA
Negele Knight,64.8,3.2,0.6,0.5,0.1,-0.1,-0.2
Alexey Shved,64.1,2.2,0.8,0.2,NA,NA,NA
Mark Davis,63.2,2.3,0.2,-0.1,-0.1,-0.1,NA
Paul Thompson,62.9,3.7,1.1,0.1,NA,NA,NA
