Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Morlon Wiley,,1.1,0.9,0.5,0.2,0.1,0.1,-0.2
Mitchell Butler,80.6,1.1,0.6,0.5,0.3,0.1,0.1,-0.2
Ronnie Price,74.4,1.1,0.9,0.4,0.1,0.1,0.1,-0.7
Steve Alford,71.6,1.4,0.9,0.6,0.3,NA,NA,NA
MarShon Brooks,66.0,1.3,0.8,0.7,0.4,0.1,NA,NA
Dante Exum,66.0,1.2,1,0.7,-0.1,NA,NA,NA
Jimmer Fredette,65.9,1.1,0.8,0.3,0.2,0,-0.2,NA
Steve Henson,65.8,1.2,1.1,1,0.2,0.1,0,0
Reggie Jordan,64.7,1.2,0.8,0.6,0.4,0.3,-0.2,NA
Nik Stauskas,63.7,1.4,1.1,0.5,0.5,0.3,NA,NA
Jordan Hamilton,62.7,1.6,0.8,0.3,0.2,0.1,NA,NA
