Season,Team,Lg,Salary
1988-89,Dallas Mavericks,NBA,"$100,000"
1990-91,Orlando Magic,NBA,"$347,000"
1991-92,San Antonio Spurs,NBA,"$130,000"
1992-93,Atlanta Hawks,NBA,"$250,000"
1994-95,Dallas Mavericks,NBA,"$310,000"
Career,(may be incomplete),,"$1,137,000"
