Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
James Wilkes,,1.1,0.8,0.1,NA
Alec Kessler,82.9,1.2,0.8,0.1,-0.1
Dontonio Wingfield,81.5,0.9,0.9,0,-0.1
James Michael McAdoo,81.3,1.1,0.8,0.5,0
Timothé Luwawu-Cabarrot,80.0,0.8,0.8,0.2,NA
Bo Ellis,79.5,1.1,0.9,0.5,NA
Joe Holland,79.1,1.2,0.6,0.2,NA
Kevin Loder,78.1,1.5,0.9,0.1,NA
Walter Piatkowski,76.4,1.2,0.8,-0.2,NA
Patrick McFarland,75.3,1.3,0.7,0.4,NA
Chris McNealy,73.9,1.6,0.8,0.2,NA
