Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Isaac Austin,,4,3.6,1.2,0.3,0.3,0.2,0,0,-0.5
Primož Brezec,71.6,4.9,4.6,0.7,0.3,0.2,0.1,0.1,0,NA
Travis Knight,71.3,3.3,3,1.1,0.6,0.2,-0.1,-0.3,NA,NA
George Peeples,70.7,4.1,3.2,2.1,1.5,0.2,0,NA,NA,NA
Joe Strawder,69.7,4.3,3.6,3,NA,NA,NA,NA,NA,NA
Lee Davis,69.6,4.6,3.7,2.1,1.5,0.6,0.2,0.2,-0.1,NA
Brad Sellers,68.6,3.3,3.3,2.6,0.4,0.2,0,NA,NA,NA
Mike Sojourner,66.7,4.7,2.7,0.9,NA,NA,NA,NA,NA,NA
Miles Plumlee,66.2,4,2.6,2.2,0.9,0.5,0.5,0,NA,NA
Chris Mihm,66.0,4,3.6,2.9,1.3,0.9,0.7,0.1,0,NA
Tom Hoover,65.6,4.4,2.6,0.4,0.1,0,NA,NA,NA,NA
