Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Ernie Calverley,,5.5,0.7,-0.5,NA,NA
Earl Shannon,69.7,7,0.6,0,NA,NA
D'Angelo Russell,69.0,5,1.3,0.4,0,NA
Arvesta Kelly,68.6,4.9,0.4,0.3,0,-0.1
Malik Beasley,62.7,4.5,0.3,0.2,NA,NA
Walt Kirk,58.0,5,2.3,0.4,NA,NA
Ron Perry,57.2,4.4,1.4,0.3,NA,NA
Mike Barrett,56.5,4.9,2.7,-0.1,NA,NA
Smush Parker,56.0,5.8,2.3,0.1,-0.1,-0.6
Larry Cannon,55.6,7.2,0.1,0,-0.2,NA
Jeffrey Congdon,54.0,4.3,0.9,0.7,0.3,0
