Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
1971-72,23,BOS,NBA,C,1,1,32:00,5,12,0.417,NA,NA,NA,4,5,0.8,NA,20,1,NA,NA,NA,4,14
1972-73,24,BOS,NBA,C,1,1,30:00,7,15,0.467,NA,NA,NA,1,1,1,NA,13,1,NA,NA,NA,2,15
1973-74,25,BOS,NBA,C,1,1,26:00,5,10,0.5,NA,NA,NA,1,3,0.333,6,12,1,0,1,NA,3,11
1974-75,26,BOS,NBA,C,1,0,15:00,3,7,0.429,NA,NA,NA,0,0,NA,0,6,3,1,0,NA,4,6
1975-76,27,BOS,NBA,C,1,0,23:00,6,13,0.462,NA,NA,NA,4,5,0.8,8,16,1,1,0,NA,3,16
1976-77,28,BOS,NBA,C,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1977-78,29,BOS,NBA,C,1,1,28:00,7,9,0.778,NA,NA,NA,0,0,NA,6,14,5,2,0,2,5,14
1979-80,31,BOS,NBA,C,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Career,NA,,NBA,,6,4,154,33,66,0.5,NA,NA,NA,10,14,0.714,20,81,12,4,1,2,21,76
