Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,,ORtg,DRtg
1975-76,22,MIL,NBA,PF,3,NA,41,1.1,5.6,0.2,3.3,4.4,0.75,0,6.7,6.7,1.1,1.1,1.1,6.7,5.6,NA,NA,107
Career,NA,,NBA,,3,NA,41,1.1,5.6,0.2,3.3,4.4,0.75,0,6.7,6.7,1.1,1.1,1.1,6.7,5.6,NA,NA,107
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,MIL,NBA,,3,NA,41,1.1,5.6,0.2,3.3,4.4,0.75,0,6.7,6.7,1.1,1.1,1.1,6.7,5.6,NA,NA,107
