Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,,ORtg,DRtg
1975-76,22,MIL,NBA,PF,65,NA,948,5.6,12.1,0.46,2.7,4.7,0.577,4.7,8.1,12.8,1.8,0.4,2,7.5,13.8,NA,NA,99
1976-77,23,TOT,NBA,PF,9,NA,52,4.3,16.3,0.263,2.6,6,0.429,8.6,5.1,13.7,2.6,0,3.4,10.3,11.2,NA,NA,102
1976-77,23,IND,NBA,PF,2,NA,21,6.4,14.9,0.429,2.1,8.5,0.25,8.5,6.4,14.9,6.4,0,4.3,10.7,14.9,NA,NA,102
1976-77,23,BUF,NBA,PF,2,NA,7,0,19.2,0,12.8,19.2,0.667,0,19.2,19.2,0,0,0,12.8,12.8,NA,NA,96
1976-77,23,POR,NBA,PF,5,NA,24,3.7,16.7,0.222,0,0,NA,11.1,0,11.1,0,0,3.7,9.3,7.4,NA,NA,104
Career,NA,,NBA,,74,NA,1000,5.5,12.3,0.446,2.7,4.8,0.567,4.9,7.9,12.9,1.8,0.4,2.1,7.7,13.7,NA,NA,99
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,MIL,NBA,,65,NA,948,5.6,12.1,0.46,2.7,4.7,0.577,4.7,8.1,12.8,1.8,0.4,2,7.5,13.8,NA,NA,99
1 season,NA,POR,NBA,,5,NA,24,3.7,16.7,0.222,0,0,NA,11.1,0,11.1,0,0,3.7,9.3,7.4,NA,NA,104
1 season,NA,IND,NBA,,2,NA,21,6.4,14.9,0.429,2.1,8.5,0.25,8.5,6.4,14.9,6.4,0,4.3,10.7,14.9,NA,NA,102
1 season,NA,BUF,NBA,,2,NA,7,0,19.2,0,12.8,19.2,0.667,0,19.2,19.2,0,0,0,12.8,12.8,NA,NA,96
