,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1975-76,22,MIL,NBA,,8,,6,8,,,,,,,,19
1976-77,23,TOT,NBA,,2,,2,3,,,,,,,,4
1976-77,23,IND,NBA,,2,,1,2,,,5,3,0,2,,4
1976-77,23,BUF,NBA,,0,,2,3,,,,,,,,2
1976-77,23,POR,NBA,,1,3,0,0,3,0,3,1,0,2,3,2
Career,,,,,8,,6,8,,,,,,,,19
1 Season,,MIL,NBA,,8,,6,8,,,,,,,,19
1 Season,,POR,NBA,,1,3,0,0,3,0,3,1,0,2,3,2
1 Season,,IND,NBA,,2,,1,2,,,5,3,0,2,,4
1 Season,,BUF,NBA,,0,,2,3,,,,,,,,2
