Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Julyan Stone,,0.4,0.3,0.2,0.1
James Young,82.6,0.3,0.3,0.1,0.1
Milt Williams,81.8,0.4,0.2,0.1,0.1
Jordan McRae,78.8,0.5,0.4,0.2,NA
Elliot Williams,76.7,0.3,0.3,0.1,0
Xavier Henry,72.0,0.3,0.2,0.2,0
Lance Blanks,70.9,0.4,0.2,0.1,NA
Jorge Gutiérrez,69.7,0.3,0.3,0.2,NA
Darrin Hancock,67.8,0.5,0.4,0.2,NA
Kennard Winchester,65.3,0.5,0.4,0.3,NA
Drew Barry,64.3,0.3,0.2,0.1,NA
