Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Julyan Stone,,0.4,0.3,0.2,0.1,NA
James Young,82.6,0.3,0.3,0.1,0.1,NA
Milt Williams,81.8,0.4,0.2,0.1,0.1,NA
Jordan McRae,78.8,0.5,0.4,0.2,NA,NA
Elliot Williams,76.7,0.3,0.3,0.1,0,NA
Lance Blanks,70.9,0.4,0.2,0.1,NA,NA
Jorge Gutiérrez,69.7,0.3,0.3,0.2,NA,NA
Darrin Hancock,67.8,0.5,0.4,0.2,NA,NA
Xavier Henry,65.8,0.3,0.2,0.2,0,-0.1
Kennard Winchester,65.3,0.5,0.4,0.3,NA,NA
Drew Barry,64.3,0.3,0.2,0.1,NA,NA
