Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Jamaal Tinsley,,4.4,3.7,2.8,2.8,1.7,0.9,0.8,0.7,0.1,-0.3,-0.3
Howard Eisley,88.1,4.5,4.4,3,2.9,1.7,1.3,1.2,1,0,-0.3,-0.5
John Bagley,87.9,4.6,3,2.6,2.6,1.9,1.1,0.9,0.4,0,-0.2,-0.3
Wayne Ellington,86.5,4.5,3.3,3.2,2.6,1.2,0.8,0.8,0.7,0.4,0.3,NA
Devean George,85.8,4.2,3.4,2.7,2.6,2.1,1.3,0.7,0.7,0.6,0.3,-0.3
Bob Hansen,84.2,4.4,2.8,2.6,2.5,1.7,0.9,0.7,-0.1,-0.1,NA,NA
Daniel Gibson,83.5,4.1,3.8,2.6,2.4,2,0.5,0.5,NA,NA,NA,NA
Adrian Griffin,83.5,3.9,3.5,2.9,2.9,1.3,1.3,0.4,0.1,0,NA,NA
Carlos Arroyo,83.1,4.7,3.7,2.8,2.7,2.5,1.7,1.3,0.4,0.3,NA,NA
Doug West,83.1,4.6,4.3,2.6,1.8,1.7,1.2,0.8,0.5,0.4,0.1,-0.1
T.J. Ford,82.3,4.3,4.3,3.3,2.5,1.4,0.7,0.2,0.2,NA,NA,NA
