,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2001-02,23,IND,NBA,PG,5,88,100%,,,,,-4.8,-8.4,8,1,6,1,2,0,57,1,1
2002-03,24,IND,NBA,PG,6,185,100%,,,,,-2.9,+9.4,7,1,8,0,2,0,81,0,1
2003-04,25,IND,NBA,PG,16,422,99%,1%,,,,+6.8,+3.6,20,9,25,0,4,0,177,1,11
2004-05,26,IND,NBA,PG,9,247,98%,2%,,,,+0.2,+5.6,19,5,11,1,11,0,118,5,15
2005-06,27,IND,NBA,PG,1,7,100%,,,,,-126.9,-125.3,0,1,1,0,0,0,3,0,0
2011-12,33,UTA,NBA,PG,4,65,100%,,,,,-17.7,+0.6,4,0,2,1,1,0,25,0,0
Career,,,NBA,,41,1014,99%,1%,,,,-0.1,+3.0,58,17,53,3,20,0,461,7,28
,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,IND,NBA,,37,949,99%,1%,,,,+1.1,+3.2,54,17,51,2,19,0,436,7,28
1 season,,UTA,NBA,,4,65,100%,,,,,-17.7,+0.6,4,0,2,1,1,0,25,0,0
