Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,PF,PTS
1970-71,28,CHI,NBA,PF,1,0,21:00,6,12,0.5,4,5,0.8,NA,4,0,NA,NA,2,16
1971-72,29,CHI,NBA,PF,1,1,16:00,4,11,0.364,0,2,0,NA,6,0,NA,NA,1,8
1972-73,30,CHI,NBA,PF,1,0,12:00,2,4,0.5,2,2,1,NA,3,0,NA,NA,1,6
Career,NA,,NBA,,3,1,49,12,27,0.444,6,9,0.667,NA,13,0,NA,NA,4,30
