,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1969-70,27,CHI,NBA,,6,13,6,10,,,13,2,,,3,18
1970-71,28,CHI,NBA,,14,27,8,11,,,10,5,,,5,36
1971-72,29,CHI,NBA,,10,24,6,6,,,9,3,,,5,26
1972-73,30,CHI,NBA,,16,30,7,9,,,14,6,,,5,38
1973-74,31,CHI,NBA,,17,30,8,11,,,10,5,,,5,38
1974-75,32,CHI,NBA,,16,32,17,17,,,12,3,,,6,38
Career,,,,,17,32,17,17,,,14,6,,,6,38
