,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1966-67,24,CIN,NBA,,10,,8,10,,,,,,,,26
1967-68,25,CIN,NBA,,12,,11,11,,,,,,,,29
1968-69,26,TOT,NBA,,6,,8,9,,,,,,,,20
1968-69,26,MIL,NBA,,6,,8,9,,,,,,,,20
1968-69,26,CHI,NBA,,6,14,6,6,,,7,8,,,4,18
1969-70,27,CHI,NBA,,20,29,14,16,,,16,7,,,6,47
1970-71,28,CHI,NBA,,17,32,14,17,,,18,7,,,5,44
1971-72,29,CHI,NBA,,19,,15,19,,,,,,,,41
1972-73,30,CHI,NBA,,19,33,17,20,,,14,4,,,6,49
1973-74,31,CHI,NBA,,18,,11,12,,,,,,,,43
1974-75,32,CHI,NBA,,16,34,12,16,,,13,5,,,6,39
1975-76,33,CHI,NBA,,17,,16,17,,,,,,,,40
1976-77,34,TOT,NBA,,10,,8,10,,,,,,,,22
1976-77,34,CHI,NBA,,10,24,7,10,,,9,6,,,6,22
1976-77,34,NYN,NBA,,9,,7,8,,,,,,,,20
1976-77,34,SEA,NBA,,4,,8,8,,,,,,,,14
Career,,,,,20,,17,20,,,,,,,,49
9 Seasons,,CHI,NBA,,20,,17,20,,,,,,,,49
2 Seasons,,CIN,NBA,,12,,11,11,,,,,,,,29
1 Season,,SEA,NBA,,4,,8,8,,,,,,,,14
1 Season,,MIL,NBA,,6,,8,9,,,,,,,,20
1 Season,,NYN,NBA,,9,,7,8,,,,,,,,20
