Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,,ORtg,DRtg
1973-74,31,CHI,NBA,PF,82,NA,3292,10.2,24.3,0.417,4.5,5.5,0.818,2.5,4.3,6.8,1.8,1.2,0.4,3.1,24.8,NA,NA,97
1974-75,32,CHI,NBA,PF,61,NA,2401,10.8,25.2,0.429,5.3,6.4,0.83,2,5.7,7.7,2,1.3,0.2,4.2,26.9,NA,NA,96
1975-76,33,CHI,NBA,SF,76,NA,2823,9.2,23.6,0.39,6.1,7.7,0.801,3.2,5.4,8.6,2.5,1.1,0.2,4,24.6,NA,NA,100
1976-77,34,TOT,NBA,SF,59,NA,1174,6.4,16.9,0.379,4.3,5.2,0.826,3.1,4.7,7.8,1.9,0.9,0.2,4.7,17.1,NA,NA,101
1976-77,34,CHI,NBA,SF,14,NA,496,6.6,19.4,0.338,3.4,4.5,0.761,3.7,3.4,7.1,2.2,0.8,0.2,4.5,16.5,NA,NA,102
1976-77,34,NYN,NBA,SF,13,NA,228,9.9,21.5,0.462,6.7,7.9,0.846,3,4.7,7.7,0.8,0.2,0.4,4.7,26.6,NA,NA,103
1976-77,34,SEA,NBA,SF,32,NA,450,4.5,12.1,0.372,4.1,4.7,0.872,2.6,6.1,8.7,2.1,1.3,0.2,5,13.1,NA,NA,100
Career,NA,,NBA,,278,NA,9690,9.6,23.4,0.409,5.1,6.3,0.816,2.7,5,7.7,2.1,1.1,0.3,3.8,24.3,NA,NA,98
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,CHI,NBA,,233,NA,9012,9.8,24.1,0.409,5.1,6.3,0.813,2.7,5,7.6,2.1,1.1,0.3,3.7,24.8,NA,NA,98
1 season,NA,SEA,NBA,,32,NA,450,4.5,12.1,0.372,4.1,4.7,0.872,2.6,6.1,8.7,2.1,1.3,0.2,5,13.1,NA,NA,100
1 season,NA,NYN,NBA,,13,NA,228,9.9,21.5,0.462,6.7,7.9,0.846,3,4.7,7.7,0.8,0.2,0.4,4.7,26.6,NA,NA,103
