Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Bob Love,,9.9,8.6,7.5,6.3,5.8,5.2,4.5,1,1,0.6,0.2
Gerald Wallace,89.7,11.5,9.5,7.7,6.4,6.2,4.8,4.6,2.4,0.9,0.6,0.4
Troy Murphy,89.1,8.5,7.8,6.5,6.4,6.2,5.3,4.5,1.7,1.4,1.3,0.3
Rodney McCray,88.8,9.4,8.5,7.9,7.6,6.3,5.3,4.6,2.9,2.5,0.9,NA
Derrick Coleman,88.6,9.9,9.5,6.5,5.8,5.6,5.1,4.4,3.3,2,1.2,-0.2
Jermaine O'Neal,88.6,10.5,9,6.4,6.4,4.9,4.7,3.8,2.1,1.2,0.8,0.8
Wally Szczerbiak,88.3,8.7,8,7.4,7.3,6.2,5.2,4.5,2.9,1.6,1.6,NA
Bob Netolicky,87.7,8.3,8.2,7.5,7.4,5.6,4.9,4.1,2.1,0,NA,NA
Gordon Hayward,87.5,10.4,8.9,8.7,5.4,4.9,4.9,3.6,1.2,0,NA,NA
Sean Elliott,86.7,8.8,8.7,8.4,7.7,6.1,4.6,3.5,1.5,1.4,1.4,0.5
Donyell Marshall,86.5,10.4,8.5,6,6,5,4.2,3.8,3,1.3,1.3,0.3
