Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Bob Love,,9.9,8.6,7.5,6.3,5.8,5.2,4.5,1,1,0.6,0.2,NA,NA,NA
Rodney McCray,88.8,9.4,8.5,7.9,7.6,6.3,5.3,4.6,2.9,2.5,0.9,NA,NA,NA,NA
Troy Murphy,88.8,8.5,7.8,6.5,6.4,6.2,5.3,4.5,1.7,1.4,1.3,0.3,0.3,NA,NA
Wally Szczerbiak,88.3,8.7,8,7.4,7.3,6.2,5.2,4.5,2.9,1.6,1.6,NA,NA,NA,NA
Bob Netolicky,87.7,8.3,8.2,7.5,7.4,5.6,4.9,4.1,2.1,0,NA,NA,NA,NA,NA
Gordon Hayward,87.5,10.4,8.9,8.7,5.4,4.9,4.9,3.6,1.2,0,NA,NA,NA,NA,NA
Greg Ballard,86.4,9.4,7.9,6.9,6.9,6,5.6,3.9,3.6,2,1.7,0,NA,NA,NA
Red Robbins,85.1,10.7,9.3,7,6.9,6.7,3.9,3.7,2.3,NA,NA,NA,NA,NA,NA
Gerald Wallace,85.0,11.5,9.5,7.7,6.4,6.2,4.8,4.6,3.1,2.4,1.3,0.9,0.6,0.4,0.1
Larry Kenon,84.7,10,9.5,8.8,7.5,6.2,5.9,5.4,4.1,0.9,0.2,NA,NA,NA,NA
Jim McMillian,84.3,8.9,7.9,7.8,6.4,6,3.4,2.6,2.5,0.5,NA,NA,NA,NA,NA
