,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2013-14,22,CHI,NBA,SG,77,1231,,88%,11%,,,-4.4,-9.4,21,15,49,3,17,6,146,4,24
2014-15,23,CHI,NBA,SF,72,1412,,48%,51%,1%,,+3.3,-0.1,32,11,51,0,24,5,143,4,21
2015-16,24,CHI,NBA,SF,64,1301,,30%,70%,1%,,+4.2,+8.7,20,14,48,11,15,2,138,2,28
2016-17,25,MIL,NBA,SG,80,2336,1%,86%,13%,,,-1.7,-4.5,28,15,77,5,22,7,221,4,10
2017-18,26,MIL,NBA,SG,75,2053,,66%,31%,3%,,-1.1,-2.1,22,6,57,4,20,2,233,2,18
2018-19,27,MIL,NBA,SF,74,1304,,24%,70%,5%,,+7.1,-2.2,15,5,50,1,19,3,156,7,9
2019-20,28,DET,NBA,SF,59,1641,,25%,69%,6%,,-6.4,-4.5,19,8,50,4,8,6,301,2,9
Career,,,NBA,,501,11278,,56%,42%,2%,,-0.3,-2.3,157,74,382,28,125,31,1338,25,119
,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,MIL,NBA,,229,5693,,65%,33%,2%,,+0.5,-3.1,65,26,184,10,61,12,610,13,37
3 seasons,,CHI,NBA,,213,3944,,55%,45%,,,+1.2,-0.1,73,40,148,14,56,13,427,10,73
1 season,,DET,NBA,,59,1641,,25%,69%,6%,,-6.4,-4.5,19,8,50,4,8,6,301,2,9
