Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Tony Snell,,3.4,3.2,2.4,2.4,1.6,0.4
Larry Hughes,91.6,3.8,3.7,2.4,2.4,1.7,0.6
Anthony Morrow,91.5,3.5,3,3,2.4,1.7,0.7
Randy Foye,90.8,3.2,3.1,2.3,2.2,1.7,1.1
Darrell Griffith,90.5,3.5,3.5,2.8,2.5,2.1,0.4
Mickaël Piétrus,90.5,3.6,3,2.8,2.1,1.5,0.6
Sedale Threatt,88.4,3.4,2.7,2.5,2.1,1.3,0.1
Charlie Criss,88.2,3.7,2.8,2.5,2.2,2.1,0.1
Jerryd Bayless,88.1,4,2.7,2.4,2,1.6,0.3
Fatty Taylor,88.0,3.7,3,2.6,2.6,1.3,1.2
C.J. Watson,87.4,3.8,3.3,3.1,2.6,2.1,0.4
