Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Tony Snell,,3.4,3.2,2.4,2.4,1.6,0.4,NA,NA,NA
Charlie Criss,88.4,3.7,2.8,2.5,2.2,2.1,0.3,0.1,0,NA
Devin Brown,87.4,3.7,3.5,2.4,1.7,1.4,0.4,0.1,-0.1,NA
Trenton Hassell,85.9,4,2.7,2.6,2.3,1.5,0.7,0.2,-0.1,-0.1
Billy McKinney,85.8,3.4,3.3,3,2.7,2.3,0.9,0.1,NA,NA
Geoff Huston,85.3,3.4,3,2.6,1.8,1.7,0,-0.3,-0.4,NA
Bob Harrison,84.4,3.5,3.3,2.9,2.2,0.9,0.9,0,-0.4,NA
Elfrid Payton,84.1,4.4,2.8,2.3,2.2,1.5,NA,NA,NA,NA
Mike McGee,83.9,3.2,3,2.8,2.3,1.9,1.1,0.4,0.2,0.2
Daniel Gibson,83.8,4.1,3.8,2.6,2.4,2,0.5,0.5,NA,NA
Charlie Bell,83.2,4,3.3,2.2,2,1.3,-0.1,-0.2,NA,NA
