Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Bill Hosket,,1,1,0.6,0.5,NA,NA,NA,NA
Steve Green,90.4,1.2,1.1,0.7,0.4,NA,NA,NA,NA
Jarell Martin,83.9,1.3,0.8,0.6,0.5,NA,NA,NA,NA
Ray Tolbert,81.4,1.1,0.8,0.7,0.3,0,NA,NA,NA
Anthony Miller,79.9,1.2,1.2,0.8,0.6,0,0,0,-0.1
Yi Jianlian,76.6,1.3,0.7,0.7,0.4,0,NA,NA,NA
Josh Powell,75.0,1.1,0.7,0.6,0.3,0,0,-0.2,NA
Chris Johnson,74.4,1.4,1.1,0.8,0.2,NA,NA,NA,NA
Bo Ellis,73.8,1.1,0.9,0.5,NA,NA,NA,NA,NA
Loren Woods,72.8,1.1,0.7,0.5,0.4,0.4,0.1,NA,NA
Byron Houston,72.5,1.8,0.9,0.7,0.5,NA,NA,NA,NA
