Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Bill Hosket,,1,1,0.6,0.5
Malik Allen,92.1,1.1,0.9,0.7,0.5
Steve Green,90.4,1.2,1.1,0.7,0.4
Chris Crawford,84.8,1.3,0.9,0.6,0.6
Jarell Martin,83.9,1.3,0.8,0.6,0.5
Tom Hammonds,82.4,0.8,0.8,0.6,0.5
Ray Tolbert,82.3,1.1,0.8,0.7,0.3
Josh Powell,81.3,1.1,0.7,0.6,0.3
Loren Woods,80.5,1.1,0.7,0.5,0.4
Yi Jianlian,76.9,1.3,0.7,0.7,0.4
Chris Johnson,74.4,1.4,1.1,0.8,0.2
