Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Fat Lever,,10.4,9.7,9.2,8.8,5.2,4.8,4.5,4.4,2.9,1.3,0
DeMar DeRozan,92.9,9.9,9.6,9,8.8,6.3,4.7,4,3.2,2.5,2.3,NA
Kevin Martin,91.7,10.2,9.5,8.4,7,5.5,5.3,4.7,4.2,3.3,1.9,0.1
Jeff Mullins,89.7,10,9.9,8.3,8.2,6.8,5.7,5.6,4.5,2.3,0.8,-0.3
Kyrie Irving,89.1,10.4,9.1,8.9,8.9,6.7,5.3,5,4.1,NA,NA,NA
Mookie Blaylock,88.4,12.5,10.2,9.4,9,7,5.6,4.9,4.7,3.3,2.1,-0.3
Donnie Freeman,88.4,9.9,9.7,8.9,7.6,7.3,5.1,3.7,3.4,2.4,NA,NA
Dale Ellis,87.6,10.8,9.3,9,7.6,6.4,6.4,4.8,3.2,2.4,1.6,1.5
Terrell Brandon,86.8,12.7,10.8,8.6,8.5,5.6,5.1,3.9,3.7,3.2,2.9,0.9
Archie Clark,86.5,11.4,11,8.1,7.9,6.2,6.2,5.6,4,2.7,1.7,NA
Derek Harper,86.5,9.9,9.4,9.1,8,7.6,6.2,5.4,4,3.5,2.7,1.3
