,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Season,Age,College,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
1978-79,18,ARIZONAST,29,377,38,92,,,28,38,,44,51,,,,,104,.413,,.737,13.0,3.6,1.5,1.8
1979-80,19,ARIZONAST,29,974,98,220,,,72,103,,125,141,,,,,268,.445,,.699,33.6,9.2,4.3,4.9
1980-81,20,ARIZONAST,28,1038,120,259,,,84,116,,138,147,,,,,324,.463,,.724,37.1,11.6,4.9,5.3
1981-82,21,ARIZONAST,27,1032,162,357,,,117,143,,146,105,,,,,441,.454,,.818,38.2,16.3,5.4,3.9
Career,,,113,3421,418,928,,,301,400,,453,444,,,,,1137,.450,,.753,30.3,10.1,4.0,3.9
