Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Ben Poquette,,5.4,5,4.9,3.5,3.4,2.5,2.3,1.4,1.3,0.6
Johnny Green,91.4,5.6,5.1,5.1,3.8,2.6,2.4,2.3,1.7,1.5,1.2
Phil Hubbard,90.1,5.7,4.6,4.5,3.4,3.3,2.7,2.6,1.6,0.4,0.2
Tom Van Arsdale,89.6,5.5,5,4.8,4.4,4,3.1,2.7,2.2,1.4,1
Walt Williams,89.4,5.4,5.1,5.1,4.4,3.7,3,2.2,1.7,1.6,-0.7
Ray Scott,89.2,5.5,5.3,4.5,3.5,3.4,3,2.5,2.5,2.4,1.3
Antoine Carr,89.1,5.5,5.4,4,3.8,3.5,3.3,2.2,2.1,1.2,0.7
Malik Rose,88.1,5.2,4.4,3.8,3.4,3.3,2.6,2.6,1.1,0.5,0.4
Phil Jackson,87.4,5.6,4.8,4.2,3.2,2.5,2.5,1.7,0.9,0.8,0.5
Willie Naulls,87.4,5.7,5.5,5.3,4.6,3.9,2.6,2.6,1.8,1.8,0.4
Bingo Smith,87.2,6.1,4.2,4.2,3.7,3.3,2.5,2.4,2.1,1.6,1.1
