,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1962-63,22,SYR,NBA,,2,,,,,,4,,,,,,,,3,6
1966-67,26,TOT,NBA,,3,9,,,,,2,3,,,4,3,,,5,6
1966-67,26,CIN,NBA,,3,9,,,,,2,3,,,4,3,,,5,6
1967-68,27,TOT,NBA,,2,,,,,,2,3,,,,,,,,4
1967-68,27,DET,NBA,,2,,,,,,2,3,,,,,,,,4
1969-70,29,MIL,NBA,,6,,,,,,4,6,,,,,,,,15
1971-72,31,DLC,ABA,,4,,0,,,,2,3,,,,,,,,9
Career,,,TOT,,6,,,,,,4,,,,,,,,,15
,,,NBA,,6,,,,,,4,,,,,,,,,15
,,,ABA,,4,,0,,,,2,3,,,,,,,,9
,,,,,,,,,,,,,,,,,,,,
1 Season,,MIL,NBA,,6,,,,,,4,6,,,,,,,,15
1 Season,,DET,NBA,,2,,,,,,2,3,,,,,,,,4
1 Season,,SYR,NBA,,2,,,,,,4,,,,,,,,3,6
1 Season,,CIN,NBA,,3,9,,,,,2,3,,,4,3,,,5,6
1 Season,,DLC,ABA,,4,,0,,,,2,3,,,,,,,,9
