Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1962-63,22,SYR,NBA,PF,4,NA,53,4,21,0.19,NA,NA,NA,4,21,0.19,0.19,13,16,0.813,NA,NA,18,3,NA,NA,7,21
1966-67,26,CIN,NBA,C,4,NA,66,10,27,0.37,NA,NA,NA,10,27,0.37,0.37,2,4,0.5,NA,NA,13,9,NA,NA,14,22
1967-68,27,DET,NBA,C,5,NA,21,2,7,0.286,NA,NA,NA,2,7,0.286,0.286,3,6,0.5,NA,NA,12,0,NA,NA,3,7
1969-70,29,MIL,NBA,SF,9,NA,133,28,50,0.56,NA,NA,NA,28,50,0.56,0.56,13,19,0.684,NA,NA,26,5,NA,NA,10,69
1971-72,31,DLC,ABA,PF,4,NA,89,12,24,0.5,0,0,NA,12,24,0.5,0.5,5,8,0.625,NA,NA,18,3,NA,3,13,29
Career,NA,,TOT,,26,NA,362,56,129,0.434,0,0,NA,56,129,0.434,0.434,36,53,0.679,NA,NA,87,20,NA,3,47,148
,NA,,NBA,,22,NA,273,44,105,0.419,NA,NA,NA,44,105,0.419,0.419,31,45,0.689,NA,NA,69,17,NA,NA,34,119
,NA,,ABA,,4,NA,89,12,24,0.5,0,0,NA,12,24,0.5,0.5,5,8,0.625,NA,NA,18,3,NA,3,13,29
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,MIL,NBA,,9,NA,133,28,50,0.56,NA,NA,NA,28,50,0.56,0.56,13,19,0.684,NA,NA,26,5,NA,NA,10,69
1 season,NA,DET,NBA,,5,NA,21,2,7,0.286,NA,NA,NA,2,7,0.286,0.286,3,6,0.5,NA,NA,12,0,NA,NA,3,7
1 season,NA,SYR,NBA,,4,NA,53,4,21,0.19,NA,NA,NA,4,21,0.19,0.19,13,16,0.813,NA,NA,18,3,NA,NA,7,21
1 season,NA,CIN,NBA,,4,NA,66,10,27,0.37,NA,NA,NA,10,27,0.37,0.37,2,4,0.5,NA,NA,13,9,NA,NA,14,22
1 season,NA,DLC,ABA,,4,NA,89,12,24,0.5,0,0,NA,12,24,0.5,0.5,5,8,0.625,NA,NA,18,3,NA,3,13,29
