Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,BLK,TOV,PF,PTS
1963-64,23,NYK,NBA,PF,1,0,12:00,1,5,0.2,NA,NA,NA,2,2,1,NA,1,2,NA,NA,2,4
Career,NA,,NBA,,1,0,12,1,5,0.2,NA,NA,NA,2,2,1,NA,1,2,NA,NA,2,4
