Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1962-63,22,SYR,NBA,PF,4,NA,13.3,1,5.3,0.19,NA,NA,NA,1,5.3,0.19,0.19,3.3,4,0.813,NA,NA,4.5,0.8,NA,NA,1.8,5.3
1966-67,26,CIN,NBA,C,4,NA,16.5,2.5,6.8,0.37,NA,NA,NA,2.5,6.8,0.37,0.37,0.5,1,0.5,NA,NA,3.3,2.3,NA,NA,3.5,5.5
1967-68,27,DET,NBA,C,5,NA,4.2,0.4,1.4,0.286,NA,NA,NA,0.4,1.4,0.286,0.286,0.6,1.2,0.5,NA,NA,2.4,0,NA,NA,0.6,1.4
1969-70,29,MIL,NBA,SF,9,NA,14.8,3.1,5.6,0.56,NA,NA,NA,3.1,5.6,0.56,0.56,1.4,2.1,0.684,NA,NA,2.9,0.6,NA,NA,1.1,7.7
1971-72,31,DLC,ABA,PF,4,NA,22.3,3,6,0.5,0,0,NA,3,6,0.5,0.5,1.3,2,0.625,NA,NA,4.5,0.8,NA,0.8,3.3,7.3
Career,NA,,TOT,,26,NA,13.9,2.2,5,0.434,0,0,NA,2.2,5,0.434,0.434,1.4,2,0.679,NA,NA,3.3,0.8,NA,0.8,1.8,5.7
,NA,,NBA,,22,NA,12.4,2,4.8,0.419,NA,NA,NA,2,4.8,0.419,0.419,1.4,2,0.689,NA,NA,3.1,0.8,NA,NA,1.5,5.4
,NA,,ABA,,4,NA,22.3,3,6,0.5,0,0,NA,3,6,0.5,0.5,1.3,2,0.625,NA,NA,4.5,0.8,NA,0.8,3.3,7.3
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,MIL,NBA,,9,NA,14.8,3.1,5.6,0.56,NA,NA,NA,3.1,5.6,0.56,0.56,1.4,2.1,0.684,NA,NA,2.9,0.6,NA,NA,1.1,7.7
1 season,NA,DET,NBA,,5,NA,4.2,0.4,1.4,0.286,NA,NA,NA,0.4,1.4,0.286,0.286,0.6,1.2,0.5,NA,NA,2.4,0,NA,NA,0.6,1.4
1 season,NA,SYR,NBA,,4,NA,13.3,1,5.3,0.19,NA,NA,NA,1,5.3,0.19,0.19,3.3,4,0.813,NA,NA,4.5,0.8,NA,NA,1.8,5.3
1 season,NA,CIN,NBA,,4,NA,16.5,2.5,6.8,0.37,NA,NA,NA,2.5,6.8,0.37,0.37,0.5,1,0.5,NA,NA,3.3,2.3,NA,NA,3.5,5.5
1 season,NA,DLC,ABA,,4,NA,22.3,3,6,0.5,0,0,NA,3,6,0.5,0.5,1.3,2,0.625,NA,NA,4.5,0.8,NA,0.8,3.3,7.3
