,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1962-63,22,SYR,NBA,,11,,,,,,9,,,,,,,,,31
1963-64,23,TOT,NBA,,14,,,,,,10,13,,,,,,,,34
1963-64,23,PHI,NBA,,0,2,,,,,1,1,,,4,0,,,2,1
1963-64,23,NYK,NBA,,14,,,,,,10,13,,,,,,,,34
1964-65,24,NYK,NBA,,9,,,,,,10,12,,,,,,,,26
1965-66,25,NYK,NBA,,7,,,,,,8,9,,,,,,,,17
1966-67,26,TOT,NBA,,9,,,,,,6,8,,,,,,,,20
1966-67,26,CHI,NBA,,5,10,,,,,4,4,,,4,3,,,4,12
1966-67,26,CIN,NBA,,9,,,,,,6,8,,,,,,,,20
1967-68,27,TOT,NBA,,13,,,,,,10,11,,,,,,,,30
1967-68,27,CIN,NBA,,6,,,,,,3,4,,,,,,,,14
1967-68,27,DET,NBA,,13,,,,,,10,11,,,,,,,,30
1968-69,28,MIL,NBA,,14,,,,,,11,13,,,,,,,,35
1969-70,29,MIL,NBA,,13,,,,,,12,13,,,,,,,,28
1970-71,30,TOT,NBA,,7,15,,,,,10,10,,,10,,,,6,19
1970-71,30,CLE,NBA,,7,15,,,,,5,6,,,6,1,,,4,19
1970-71,30,ATL,NBA,,6,13,,,,,10,10,,,10,,,,6,16
1971-72,31,DLC,ABA,,7,,0,,,,6,7,,,,,,,,19
Career,,,TOT,,14,,,,,,12,,,,,,,,,35
,,,NBA,,14,,,,,,12,,,,,,,,,35
,,,ABA,,7,,0,,,,6,7,,,,,,,,19
,,,,,,,,,,,,,,,,,,,,
3 Seasons,,NYK,NBA,,14,,,,,,10,13,,,,,,,,34
2 Seasons,,MIL,NBA,,14,,,,,,12,13,,,,,,,,35
2 Seasons,,"PHI,SYR",NBA,,11,,,,,,9,,,,,,,,,31
1 Season,,DLC,ABA,,7,,0,,,,6,7,,,,,,,,19
2 Seasons,,CIN,NBA,,9,,,,,,6,8,,,,,,,,20
1 Season,,DET,NBA,,13,,,,,,10,11,,,,,,,,30
1 Season,,ATL,NBA,,6,13,,,,,10,10,,,10,,,,6,16
1 Season,,CHI,NBA,,5,10,,,,,4,4,,,4,3,,,4,12
1 Season,,CLE,NBA,,7,15,,,,,5,6,,,6,1,,,4,19
