Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1962-63,22,SYR,NBA,PF,80,NA,1241,281,604,0.465,NA,NA,NA,281,604,0.465,0.465,148,238,0.622,NA,NA,461,56,NA,NA,171,710
1963-64,23,TOT,NBA,PF,79,NA,2505,531,1185,0.448,NA,NA,NA,531,1185,0.448,0.448,288,403,0.715,NA,NA,771,83,NA,NA,214,1350
1963-64,23,PHI,NBA,,1,NA,16,0,2,0,NA,NA,NA,0,2,0,0,1,2,0.5,NA,NA,4,0,NA,NA,2,1
1963-64,23,NYK,NBA,PF,78,NA,2489,531,1183,0.449,NA,NA,NA,531,1183,0.449,0.449,287,401,0.716,NA,NA,767,83,NA,NA,212,1349
1964-65,24,NYK,NBA,C,43,NA,655,145,367,0.395,NA,NA,NA,145,367,0.395,0.395,68,100,0.68,NA,NA,140,15,NA,NA,73,358
1965-66,25,NYK,NBA,PF,46,NA,545,100,238,0.42,NA,NA,NA,100,238,0.42,0.42,46,78,0.59,NA,NA,127,26,NA,NA,64,246
1966-67,26,TOT,NBA,C-PF,73,NA,708,132,313,0.422,NA,NA,NA,132,313,0.422,0.422,53,81,0.654,NA,NA,189,33,NA,NA,104,317
1966-67,26,CHI,NBA,PF,19,NA,179,40,89,0.449,NA,NA,NA,40,89,0.449,0.449,14,21,0.667,NA,NA,38,12,NA,NA,31,94
1966-67,26,CIN,NBA,C,54,NA,529,92,224,0.411,NA,NA,NA,92,224,0.411,0.411,39,60,0.65,NA,NA,151,21,NA,NA,73,223
1967-68,27,TOT,NBA,C-PF,67,NA,1064,235,458,0.513,NA,NA,NA,235,458,0.513,0.513,138,194,0.711,NA,NA,361,53,NA,NA,119,608
1967-68,27,CIN,NBA,PF,10,NA,65,15,30,0.5,NA,NA,NA,15,30,0.5,0.5,8,10,0.8,NA,NA,15,5,NA,NA,6,38
1967-68,27,DET,NBA,C,57,NA,999,220,428,0.514,NA,NA,NA,220,428,0.514,0.514,130,184,0.707,NA,NA,346,48,NA,NA,113,570
1968-69,28,MIL,NBA,PF,80,NA,2207,459,1011,0.454,NA,NA,NA,459,1011,0.454,0.454,250,339,0.737,NA,NA,637,95,NA,NA,247,1168
1969-70,29,MIL,NBA,SF,75,NA,1134,243,523,0.465,NA,NA,NA,243,523,0.465,0.465,135,211,0.64,NA,NA,276,56,NA,NA,127,621
1970-71,30,TOT,NBA,PF,48,NA,537,86,199,0.432,NA,NA,NA,86,199,0.432,0.432,71,88,0.807,NA,NA,151,17,NA,NA,72,243
1970-71,30,CLE,NBA,,6,NA,86,15,38,0.395,NA,NA,NA,15,38,0.395,0.395,11,14,0.786,NA,NA,18,1,NA,NA,9,41
1970-71,30,ATL,NBA,PF,42,NA,451,71,161,0.441,NA,NA,NA,71,161,0.441,0.441,60,74,0.811,NA,NA,133,16,NA,NA,63,202
1971-72,31,DLC,ABA,PF,79,NA,1403,231,511,0.452,0,0,NA,231,511,0.452,0.452,144,193,0.746,146,172,318,69,NA,63,158,606
Career,NA,,TOT,,670,NA,11999,2443,5409,0.452,0,0,NA,2443,5409,0.452,0.452,1341,1925,0.697,146,172,3431,503,NA,63,1349,6227
,NA,,NBA,,591,NA,10596,2212,4898,0.452,NA,NA,NA,2212,4898,0.452,0.452,1197,1732,0.691,NA,NA,3113,434,NA,NA,1191,5621
,NA,,ABA,,79,NA,1403,231,511,0.452,0,0,NA,231,511,0.452,0.452,144,193,0.746,146,172,318,69,NA,63,158,606
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,NYK,NBA,,167,NA,3689,776,1788,0.434,NA,NA,NA,776,1788,0.434,0.434,401,579,0.693,NA,NA,1034,124,NA,NA,349,1953
2 seasons,NA,MIL,NBA,,155,NA,3341,702,1534,0.458,NA,NA,NA,702,1534,0.458,0.458,385,550,0.7,NA,NA,913,151,NA,NA,374,1789
2 seasons,NA,"SYR,PHI",NBA,,81,NA,1257,281,606,0.464,NA,NA,NA,281,606,0.464,0.464,149,240,0.621,NA,NA,465,56,NA,NA,173,711
1 season,NA,DLC,ABA,,79,NA,1403,231,511,0.452,0,0,NA,231,511,0.452,0.452,144,193,0.746,146,172,318,69,NA,63,158,606
2 seasons,NA,CIN,NBA,,64,NA,594,107,254,0.421,NA,NA,NA,107,254,0.421,0.421,47,70,0.671,NA,NA,166,26,NA,NA,79,261
1 season,NA,DET,NBA,,57,NA,999,220,428,0.514,NA,NA,NA,220,428,0.514,0.514,130,184,0.707,NA,NA,346,48,NA,NA,113,570
1 season,NA,ATL,NBA,,42,NA,451,71,161,0.441,NA,NA,NA,71,161,0.441,0.441,60,74,0.811,NA,NA,133,16,NA,NA,63,202
1 season,NA,CHI,NBA,,19,NA,179,40,89,0.449,NA,NA,NA,40,89,0.449,0.449,14,21,0.667,NA,NA,38,12,NA,NA,31,94
1 season,NA,CLE,NBA,,6,NA,86,15,38,0.395,NA,NA,NA,15,38,0.395,0.395,11,14,0.786,NA,NA,18,1,NA,NA,9,41
