Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Len Chappell,,4.7,3.7,3.6,3.2,2.9,2.1,0.9,0.5,0.1,0.1
Stromile Swift,89.5,4.8,3.7,3.3,2.9,2.5,1.9,1.4,1,-0.1,NA
Terry Catledge,89.1,4.6,3.6,3.5,3.3,2.5,1.7,1.6,0.1,NA,NA
Ron Anderson,88.4,4.4,4.1,3.8,3.5,3.1,2.5,1.5,0.5,0.5,0.3
Gary Trent,88.2,5.5,4,3.3,3.1,3,2.3,1.7,0.4,0.1,NA
Jan van Breda Kolff,88.2,4.5,3.9,3.8,3.6,3.4,1.2,1.1,0.6,0.1,NA
Michael Smith,87.6,5.4,3.7,3.6,3.3,3.1,2.3,2.1,NA,NA,NA
Nate Williams,87.5,4.5,4.3,4,2.9,2.8,2.5,1.9,0.4,NA,NA
James Jones,87.3,4.7,4,3.7,2.5,2.2,1.7,1,0.9,0.2,0
Dave Stallworth,87.3,3.9,3.8,3.7,3.4,2.8,1.7,1.1,0,NA,NA
Tyler Hansbrough,87.2,4.4,3.9,3.8,3.4,3,1,0.7,NA,NA,NA
