Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48
1962-63,22,SYR,NBA,PF,4,53,9.7,0.374,NA,0.762,NA,NA,NA,6.7,NA,NA,NA,NA,-0.1,0,-0.1,-0.092
1966-67,26,CIN,NBA,C,4,66,8,0.382,NA,0.148,NA,NA,NA,17.3,NA,NA,NA,NA,-0.1,0,-0.1,-0.093
1967-68,27,DET,NBA,C,5,21,11.7,0.363,NA,0.857,NA,NA,NA,0,NA,NA,NA,NA,-0.1,0,0,-0.006
1969-70,29,MIL,NBA,SF,9,133,16.3,0.591,NA,0.38,NA,NA,NA,5.1,NA,NA,NA,NA,0.4,0,0.5,0.165
1971-72,31,DLC,ABA,PF,4,89,11.2,0.527,0,0.333,NA,NA,10.4,4.8,NA,9.8,14.5,NA,0.1,0.1,0.2,0.101
Career,NA,,TOT,,26,362,12.3,0.486,0,0.411,NA,NA,10.4,7.2,NA,9.8,14.5,NA,0.2,0.2,0.4,0.055
,NA,,NBA,,22,273,12.7,0.477,NA,0.429,NA,NA,NA,8,NA,NA,NA,NA,0.2,0.1,0.2,0.04
,NA,,ABA,,4,89,11.2,0.527,0,0.333,NA,NA,10.4,4.8,NA,9.8,14.5,NA,0.1,0.1,0.2,0.101
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,MIL,NBA,,9,133,16.3,0.591,NA,0.38,NA,NA,NA,5.1,NA,NA,NA,NA,0.4,0,0.5,0.165
1 season,NA,DET,NBA,,5,21,11.7,0.363,NA,0.857,NA,NA,NA,0,NA,NA,NA,NA,-0.1,0,0,-0.006
1 season,NA,SYR,NBA,,4,53,9.7,0.374,NA,0.762,NA,NA,NA,6.7,NA,NA,NA,NA,-0.1,0,-0.1,-0.092
1 season,NA,CIN,NBA,,4,66,8,0.382,NA,0.148,NA,NA,NA,17.3,NA,NA,NA,NA,-0.1,0,-0.1,-0.093
1 season,NA,DLC,ABA,,4,89,11.2,0.527,0,0.333,NA,NA,10.4,4.8,NA,9.8,14.5,NA,0.1,0.1,0.2,0.101
