Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1962-63,22,SYR,NBA,PF,4,NA,53,2.7,14.3,0.19,NA,NA,NA,2.7,14.3,0.19,8.8,10.9,0.813,NA,NA,12.2,2,NA,NA,4.8,14.3
1966-67,26,CIN,NBA,C,4,NA,66,5.5,14.7,0.37,NA,NA,NA,5.5,14.7,0.37,1.1,2.2,0.5,NA,NA,7.1,4.9,NA,NA,7.6,12
1967-68,27,DET,NBA,C,5,NA,21,3.4,12,0.286,NA,NA,NA,3.4,12,0.286,5.1,10.3,0.5,NA,NA,20.6,0,NA,NA,5.1,12
1969-70,29,MIL,NBA,SF,9,NA,133,7.6,13.5,0.56,NA,NA,NA,7.6,13.5,0.56,3.5,5.1,0.684,NA,NA,7,1.4,NA,NA,2.7,18.7
1971-72,31,DLC,ABA,PF,4,NA,89,4.9,9.7,0.5,0,0,NA,4.9,9.7,0.5,2,3.2,0.625,NA,NA,7.3,1.2,NA,1.2,5.3,11.7
Career,NA,,TOT,,26,NA,362,5.6,12.8,0.434,0,0,NA,5.6,12.8,0.434,3.6,5.3,0.679,NA,NA,8.7,2,NA,1.2,4.7,14.7
,NA,,NBA,,22,NA,273,5.8,13.8,0.419,NA,NA,NA,5.8,13.8,0.419,4.1,5.9,0.689,NA,NA,9.1,2.2,NA,NA,4.5,15.7
,NA,,ABA,,4,NA,89,4.9,9.7,0.5,0,0,NA,4.9,9.7,0.5,2,3.2,0.625,NA,NA,7.3,1.2,NA,1.2,5.3,11.7
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,MIL,NBA,,9,NA,133,7.6,13.5,0.56,NA,NA,NA,7.6,13.5,0.56,3.5,5.1,0.684,NA,NA,7,1.4,NA,NA,2.7,18.7
1 season,NA,DET,NBA,,5,NA,21,3.4,12,0.286,NA,NA,NA,3.4,12,0.286,5.1,10.3,0.5,NA,NA,20.6,0,NA,NA,5.1,12
1 season,NA,SYR,NBA,,4,NA,53,2.7,14.3,0.19,NA,NA,NA,2.7,14.3,0.19,8.8,10.9,0.813,NA,NA,12.2,2,NA,NA,4.8,14.3
1 season,NA,CIN,NBA,,4,NA,66,5.5,14.7,0.37,NA,NA,NA,5.5,14.7,0.37,1.1,2.2,0.5,NA,NA,7.1,4.9,NA,NA,7.6,12
1 season,NA,DLC,ABA,,4,NA,89,4.9,9.7,0.5,0,0,NA,4.9,9.7,0.5,2,3.2,0.625,NA,NA,7.3,1.2,NA,1.2,5.3,11.7
