Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1962-63,22,SYR,NBA,PF,80,NA,1241,8.2,17.5,0.465,NA,NA,NA,8.2,17.5,0.465,4.3,6.9,0.622,NA,NA,13.4,1.6,NA,NA,5,20.6
1963-64,23,TOT,NBA,PF,79,NA,2505,7.6,17,0.448,NA,NA,NA,7.6,17,0.448,4.1,5.8,0.715,NA,NA,11.1,1.2,NA,NA,3.1,19.4
1963-64,23,PHI,NBA,,1,NA,16,0,4.5,0,NA,NA,NA,0,4.5,0,2.3,4.5,0.5,NA,NA,9,0,NA,NA,4.5,2.3
1963-64,23,NYK,NBA,PF,78,NA,2489,7.7,17.1,0.449,NA,NA,NA,7.7,17.1,0.449,4.2,5.8,0.716,NA,NA,11.1,1.2,NA,NA,3.1,19.5
1964-65,24,NYK,NBA,C,43,NA,655,8,20.2,0.395,NA,NA,NA,8,20.2,0.395,3.7,5.5,0.68,NA,NA,7.7,0.8,NA,NA,4,19.7
1965-66,25,NYK,NBA,PF,46,NA,545,6.6,15.7,0.42,NA,NA,NA,6.6,15.7,0.42,3,5.2,0.59,NA,NA,8.4,1.7,NA,NA,4.2,16.2
1966-67,26,TOT,NBA,C-PF,73,NA,708,6.7,15.9,0.422,NA,NA,NA,6.7,15.9,0.422,2.7,4.1,0.654,NA,NA,9.6,1.7,NA,NA,5.3,16.1
1966-67,26,CHI,NBA,PF,19,NA,179,8,17.9,0.449,NA,NA,NA,8,17.9,0.449,2.8,4.2,0.667,NA,NA,7.6,2.4,NA,NA,6.2,18.9
1966-67,26,CIN,NBA,C,54,NA,529,6.3,15.2,0.411,NA,NA,NA,6.3,15.2,0.411,2.7,4.1,0.65,NA,NA,10.3,1.4,NA,NA,5,15.2
1967-68,27,TOT,NBA,C-PF,67,NA,1064,8,15.5,0.513,NA,NA,NA,8,15.5,0.513,4.7,6.6,0.711,NA,NA,12.2,1.8,NA,NA,4,20.6
1967-68,27,CIN,NBA,PF,10,NA,65,8.3,16.6,0.5,NA,NA,NA,8.3,16.6,0.5,4.4,5.5,0.8,NA,NA,8.3,2.8,NA,NA,3.3,21
1967-68,27,DET,NBA,C,57,NA,999,7.9,15.4,0.514,NA,NA,NA,7.9,15.4,0.514,4.7,6.6,0.707,NA,NA,12.5,1.7,NA,NA,4.1,20.5
1968-69,28,MIL,NBA,PF,80,NA,2207,7.5,16.5,0.454,NA,NA,NA,7.5,16.5,0.454,4.1,5.5,0.737,NA,NA,10.4,1.5,NA,NA,4,19.1
1969-70,29,MIL,NBA,SF,75,NA,1134,7.7,16.6,0.465,NA,NA,NA,7.7,16.6,0.465,4.3,6.7,0.64,NA,NA,8.8,1.8,NA,NA,4,19.7
1970-71,30,TOT,NBA,PF,48,NA,537,5.8,13.3,0.432,NA,NA,NA,5.8,13.3,0.432,4.8,5.9,0.807,NA,NA,10.1,1.1,NA,NA,4.8,16.3
1970-71,30,CLE,NBA,,6,NA,86,6.3,15.9,0.395,NA,NA,NA,6.3,15.9,0.395,4.6,5.9,0.786,NA,NA,7.5,0.4,NA,NA,3.8,17.2
1970-71,30,ATL,NBA,PF,42,NA,451,5.7,12.9,0.441,NA,NA,NA,5.7,12.9,0.441,4.8,5.9,0.811,NA,NA,10.6,1.3,NA,NA,5,16.1
1971-72,31,DLC,ABA,PF,79,NA,1403,5.9,13.1,0.452,0,0,NA,5.9,13.1,0.452,3.7,5,0.746,3.7,4.4,8.2,1.8,NA,1.6,4.1,15.5
Career,NA,,TOT,,670,NA,11999,7.3,16.2,0.452,0,0,NA,7.3,16.2,0.452,4,5.8,0.697,3.7,4.4,10.3,1.5,NA,1.6,4,18.7
,NA,,NBA,,591,NA,10596,7.5,16.6,0.452,NA,NA,NA,7.5,16.6,0.452,4.1,5.9,0.691,NA,NA,10.6,1.5,NA,NA,4,19.1
,NA,,ABA,,79,NA,1403,5.9,13.1,0.452,0,0,NA,5.9,13.1,0.452,3.7,5,0.746,3.7,4.4,8.2,1.8,NA,1.6,4.1,15.5
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
