,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Season,Age,College,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
1985-86,20,GEORGIAST,6,42,7,15,,,8,11,,9,,,,,,22,.467,,.727,7.0,3.7,1.5,
1986-87,21,GEORGIAST,27,563,99,217,3,9,25,39,,108,,,,,,226,.456,.333,.641,20.9,8.4,4.0,
1987-88,22,GEORGIAST,28,654,119,290,44,111,25,35,,116,,,,,,307,.410,.396,.714,23.4,11.0,4.1,
1988-89,23,GEORGIAST,28,779,171,398,35,111,51,75,,113,,,,,,428,.430,.315,.680,27.8,15.3,4.0,
Career,,,89,2038,396,920,82,231,109,160,,346,,,,,,983,.430,.355,.681,22.9,11.0,3.9,
