Season,Team,Lg,Salary
1992-93,Denver Nuggets,NBA,"$1,900,000"
1993-94,Denver Nuggets,NBA,"$2,350,000"
1994-95,Denver Nuggets,NBA,"$2,731,000"
1995-96,Denver Nuggets,NBA,"$3,039,000"
1996-97,Denver Nuggets,NBA,"$3,294,000"
1997-98,Denver Nuggets,NBA,"$3,650,000"
1998-99,Atlanta Hawks,NBA,"$1,750,000"
1999-00,Atlanta Hawks,NBA,"$1,925,000"
2000-01,Minnesota Timberwolves,NBA,"$1,200,000"
2001-02,Miami Heat,NBA,"$3,000,000"
2002-03,Miami Heat,NBA,"$3,100,000"
Career,(may be incomplete),,"$27,939,000"
