,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1947-48,25,CHS,BAA,,5,,5,6,,,4,15
1948-49,26,CHS,BAA,,7,,6,6,,,5,20
1949-50,27,CHS,NBA,,4,,7,9,,,5,15
1950-51,28,PHW,NBA,,5,10,2,3,8,9,5,11
1951-52,29,PHW,NBA,,5,11,8,11,7,9,6,16
1952-53,30,TOT,NBA,,7,,9,11,,,6,17
1952-53,30,FTW,NBA,,7,,9,11,,,6,17
1953-54,31,FTW,NBA,,6,,6,6,,,4,13
1954-55,32,FTW,NBA,,4,,7,8,,,5,15
1955-56,33,FTW,NBA,,3,,4,11,,,4,10
1956-57,34,BOS,NBA,,4,6,3,4,4,,3,8
1957-58,35,BOS,NBA,,3,6,5,6,6,,5,7
Career,,,TOT,,7,,9,11,,,6,20
,,,NBA,,7,,9,11,,,6,17
,,,BAA,,7,,6,6,,,5,20
,,,,,,,,,,,,
4 Seasons,,FTW,NBA,,7,,9,11,,,6,17
2 Seasons,,BOS,NBA,,4,6,5,6,6,,5,8
3 Seasons,,CHS,BAA,,7,,7,9,,,5,20
2 Seasons,,PHW,NBA,,5,11,8,11,8,9,6,16
