Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Andy Phillip,,9.7,7.7,7.4,7.1,5.5,4.8,3.8,3.1,2.9,1.5,NA
Tom Gola,92.7,9.9,7.4,7.1,6.8,6.5,4.4,4.4,3.4,1.7,1.7,NA
Sleepy Floyd,92.4,10,7.7,7.5,6.3,4.4,4.4,3.7,3.1,2.2,1,0.9
José Calderón,91.8,10.2,7.5,7.4,6.3,5.4,5.1,4.2,4,3.7,0.9,0.9
Alvin Robertson,91.3,8.6,7.7,7.5,5.8,5.3,4.4,3.6,3.4,3.1,2.8,NA
Randy Smith,90.5,9.4,7.9,7.2,6.4,5.8,5.7,4.2,3.3,3,2.4,2.2
Allan Houston,89.6,8.6,7.5,7.2,7.1,6.1,4.7,4.7,3.8,3.1,2.9,-1.2
Goran Dragić,89.5,10.3,7.5,6.8,5.7,5.3,5.1,4.7,2.8,1.6,1,0.1
Rajon Rondo,89.2,9.9,9.6,7.2,6.6,4.9,4.6,3.2,2.4,2.3,1.6,1.1
Dick Snyder,88.6,10,8,6.4,6.2,6.2,6,4.1,3.7,3.4,1.8,0.6
Michael Adams,88.5,8.3,7.5,6.9,6.3,5.3,4.6,3.1,2.7,1.6,0.8,-0.1
