Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Mike Evans,,2.9,1.9,1.6,1.1,1.1,0.9,0.1,-0.1,-0.2
Jon Sundvold,85.7,3,1.5,1.2,1,1,0.8,0.2,0.2,0
Alonzo Gee,84.3,2.4,1.9,1.9,1.2,1,0.9,0.4,-0.1,NA
Rick Adelman,82.4,3.4,2.2,1.6,1.3,0.7,0.7,0.1,NA,NA
Dion Waiters,82.1,2.1,1.6,1.6,1.2,1.1,0.9,0.1,NA,NA
John Crotty,81.4,2.4,2.1,1.9,1.3,1,0.8,0.3,0.1,-0.1
Si Green,80.8,2.6,2.6,1.6,1,0.8,0.8,0.4,0.1,NA
Gary Grant,80.4,3,1.7,1.6,1.4,1.3,1.3,0.6,0.4,-0.4
Ronald Murray,79.9,3.1,1.8,1.7,1.3,0.7,0.4,-0.3,-0.3,NA
Jerry Reynolds,79.1,3.7,1.6,1.3,1.3,1,0.9,0.6,0,NA
Al Ferrari,78.5,3.3,1.9,1.4,1.4,0.9,0,NA,NA,NA
