Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Bo Lamar,,2.5,1.5,1,0.5,NA,NA,NA
Chris Douglas-Roberts,87.8,2.4,1.6,0.7,0.6,0.1,0,NA
Mike Davis,86.8,2.2,1.2,0.9,0.6,NA,NA,NA
Travis Diener,85.5,2.5,1.9,0.7,0.6,0,NA,NA
David Nwaba,84.9,2.4,1.4,0.8,NA,NA,NA,NA
Tom Garrick,84.3,2.5,1.8,1.4,0.2,NA,NA,NA
Kenny Higgs,83.1,2.2,1.5,1,NA,NA,NA,NA
Hollis Thompson,83.1,2.6,2,1.2,0.7,NA,NA,NA
Johnny High,82.9,2.5,1.2,1.1,-0.1,NA,NA,NA
Robert Smith,82.7,2.9,1.4,0.8,0.6,0,0,0
Mike Holton,80.8,2.3,1.3,0.8,0.3,0.2,-0.2,NA
