,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1973-74,22,SDA,ABA,,22,,6,,,,13,13,,,,,,,,,50
1974-75,23,SDA,ABA,,18,,3,,,,9,12,,,,,,,,,45
1975-76,24,TOT,ABA,,19,,3,,,,5,7,,,,,,,,,40
1975-76,24,SDS,ABA,,13,,2,,,,4,5,,,,,,,,,29
1975-76,24,INA,ABA,,19,,3,,,,5,7,,,,,,,,,40
1976-77,25,LAL,NBA,,10,,,,,,5,8,,,,,,,,,22
Career,,,TOT,,22,,,,,,13,13,,,,,,,,,50
,,,NBA,,10,,,,,,5,8,,,,,,,,,22
,,,ABA,,22,,6,,,,13,13,,,,,,,,,50
,,,,,,,,,,,,,,,,,,,,,
3 Seasons,,"SDA,SDS",ABA,,22,,6,,,,13,13,,,,,,,,,50
1 Season,,LAL,NBA,,10,,,,,,5,8,,,,,,,,,22
1 Season,,INA,ABA,,19,,3,,,,5,7,,,,,,,,,40
