Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Mel Bennett,,0.7,0.3,0.1,-0.1,-0.1
Jamie Watson,74.5,0.8,0.3,0.1,0,NA
Scott Roth,72.0,0.7,0.3,0.1,NA,NA
Donny Marshall,64.0,0.6,0.2,0.2,-0.1,-0.1
Christian Wood,61.1,0.8,0.3,0.3,NA,NA
Michael Smith,60.8,0.7,0.3,0.3,NA,NA
Ansu Sesay,58.4,0.8,0.5,0.2,-0.1,NA
Alex Poythress,55.9,0.5,0.3,0.1,NA,NA
Bob Peterson,53.9,0.9,0.4,0.2,NA,NA
Josh Davis,51.1,0.5,0.3,0,0,NA
David Thirdkill,50.5,1,0.3,0,0,-0.1
