Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Paul Ruffner,,0.9,0.1,0,0,0
Mike Peplowski,88.1,0.9,0.1,0,NA,NA
Luke Witte,76.1,1,0.1,0.1,NA,NA
Chris Welp,63.7,0.7,0.3,0,NA,NA
Žan Tabak,58.0,1.1,0.2,0.1,0.1,0
Stojko Vranković,56.2,0.9,0.4,0.1,0,-0.1
Chris Johnson,54.6,1,0.2,0.2,NA,NA
Nate Bowman,54.0,1.3,0.1,0,0,0
Greg Kite,52.3,0.7,0.3,0.1,0.1,0
Wallace Bryant,45.4,1.3,0,0,NA,NA
Jawann Oldham,36.9,1,0.5,0.3,0,0
