Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Al Cervi,,9.3,5.3,5.3,2.1
Flynn Robinson,91.8,9.3,6.7,4.9,2.2
Cuttino Mobley,91.3,8.2,5.7,5.2,2.3
Derek Harper,91.1,9.4,6.2,5.4,1.3
Sam Jones,90.8,8.1,5.9,5.3,2.1
Frankie Brian,90.6,9.2,6.1,5.6,3
Alvin Robertson,90.4,8.6,5.8,5.3,3.1
Fred Scolari,90.4,8.5,5.6,5.4,3.1
Derek Anderson,88.0,9.9,5.3,3.3,2.1
Reggie Theus,87.9,9.2,6.9,5.3,3.2
World B. Free,87.7,10.1,6,4.6,1.5
