Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Al Cervi,,9.3,5.3,5.3,2.1,NA,NA,NA,NA,NA,NA,NA,NA
John Logan,76.1,9.2,8.3,5.2,4.3,1,NA,NA,NA,NA,NA,NA,NA
Mike James,72.9,7.6,5.2,4.3,2.8,1.8,0.4,0.3,0.3,0,-0.1,-0.1,-0.1
Dražen Petrović,72.1,8.4,7.7,2.8,2.5,NA,NA,NA,NA,NA,NA,NA,NA
Josh Childress,71.8,7.6,5.7,5.5,4.6,1.4,0.9,0.1,0,NA,NA,NA,NA
Jeff McInnis,70.6,6.9,5.1,4.9,4.1,1.1,0.3,0.3,0.2,0.1,0.1,-0.1,NA
Micheal Williams,70.6,9,7.6,5.7,5.6,0.7,0.3,0,-0.1,-0.1,-0.2,NA,NA
Frankie Brian,70.2,9.2,6.1,5.6,3.6,3,2.7,-0.2,NA,NA,NA,NA,NA
Levern Tart,70.1,10.9,5.8,1.9,1.2,NA,NA,NA,NA,NA,NA,NA,NA
Lewis Lloyd,70.0,6.3,4.7,4.6,2.6,1.6,0.1,0,NA,NA,NA,NA,NA
George Lehmann,69.9,7.3,5.9,2.5,2.3,0.7,0,0,NA,NA,NA,NA,NA
