,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1949-50,32,SYR,NBA,,7,,12,13,,,,23
1950-51,33,SYR,NBA,,9,,9,10,,,,19
1951-52,34,SYR,NBA,,7,,13,,,,6,26
1952-53,35,SYR,NBA,,5,,11,11,,,6,19
Career,,,,,9,,13,,,,,26
