Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Noah Vonleh,,3.2,1.8,1.6,1.2,0.5,NA,NA,NA,NA
Cristiano Felício,88.2,3.4,1.7,1.4,1.2,NA,NA,NA,NA,NA
Mark Alarie,88.0,3.1,2.2,1.5,0.9,0.6,NA,NA,NA,NA
Sam Mack,87.5,2.8,1.9,1.3,1.1,0.3,0,-0.1,NA,NA
Joey Graham,84.8,3,2.2,1.3,1.1,0.3,0,NA,NA,NA
Ira Newble,84.4,3.3,2.3,1.9,0.9,0.5,0.2,0.1,0.1,NA
Simmie Hill,82.6,3.1,1.6,1.2,1,NA,NA,NA,NA,NA
Marty Conlon,82.4,3.1,1.8,1.4,1,0.8,0.6,0.3,0,-0.1
Bobby Portis,82.3,3.5,2.4,1.6,1.5,NA,NA,NA,NA,NA
Josh Boone,82.2,3.7,1.8,1.8,1.7,NA,NA,NA,NA,NA
Justin Holiday,82.2,2.5,2.1,1.7,1.3,0.6,-0.1,NA,NA,NA
