Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Noah Vonleh,,3.2,1.8,1.6,1.2,0.5
Ryan Bowen,89.6,3.1,2.1,1.7,1.4,0.8
Sam Mack,88.8,2.8,1.9,1.3,1.1,0.3
Cristiano Felício,88.2,3.4,1.7,1.4,1.2,NA
Mark Alarie,88.0,3.1,2.2,1.5,0.9,0.6
Jarvis Hayes,85.8,2.9,1.7,1.5,0.7,0.5
Toby Kimball,85.8,3.2,2.5,1.2,1.2,0.4
Mark Bryant,85.6,3.2,2.1,2.1,1.1,1
Joey Graham,85.3,3,2.2,1.3,1.1,0.3
Steve Kuberski,85.1,2.6,1.7,1.7,1.2,0.2
Darrell Arthur,84.6,3.8,1.7,1.7,0.7,0.3
