,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Season,Age,College,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
1985-86,18,MISSOURI,34,685,67,141,,,35,80,,123,,14,17,59,62,169,.475,,.438,20.1,5.0,3.6,
1986-87,19,MISSOURI,32,416,60,113,,,22,35,,99,,4,24,33,55,142,.531,,.629,13.0,4.4,3.1,
1987-88,20,MISSOURI,29,339,59,94,,,35,76,,100,,10,12,30,52,153,.628,,.461,11.7,5.3,3.4,
1988-89,21,MISSOURI,37,776,160,270,,,65,113,,205,,17,42,57,87,385,.593,,.575,21.0,10.4,5.5,
Career,,,132,2216,346,618,,,157,304,,527,,45,95,179,256,849,.560,,.516,16.8,6.4,4.0,
