Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Nicolas Batum,,7.9,6.6,5.8,5.2,5,4.8,4.6,3.7,3.7,3.5,3.5
Clarence Weatherspoon,94.7,8.6,6,5.8,5.5,5.1,5,4.5,4,3.6,3.5,3.3
Thaddeus Young,92.7,7.4,6.3,6.2,5.5,5.5,4.6,4.5,4.1,3.5,3.1,2.1
Mike Miller,91.8,7.4,7,5.3,5,4.8,4.5,4.2,4,3.9,3.9,1.6
Eddie Johnson,91.6,7.4,6.5,5.6,5.6,5.5,5.3,4.3,4,3.9,3,1.8
Robert Horry,90.6,6.9,6.6,5.9,5.7,4.9,4.8,4.2,3.6,2.9,2.6,1.7
Joe Smith,90.4,6.8,6.3,6.1,5.5,4.7,4.4,4.4,3.7,3,2.6,2.3
Marvin Williams,90.0,7.8,6.1,5.7,5.7,4.9,4.3,4,2.9,2.8,2.3,2.3
Taj Gibson,88.7,7.2,5.7,5.4,5.2,5.1,4.8,4.7,4.5,4,3.3,NA
Armen Gilliam,88.0,7.6,6.8,6.7,6.6,5.3,5.1,4.6,4.5,4.1,2.8,1.3
Orlando Woolridge,88.0,9,6.8,5.6,5.3,4.8,4.4,3.9,3.6,3.3,1.8,0.8
