Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Bill Turner,,3.1,1.1,0.7,0.5,-0.2,-0.4
Rowland Garrett,88.3,3.1,1.1,0.8,0.5,-0.1,NA
Terry Teagle,83.9,3.1,1.3,0.7,0.2,-0.2,-0.8
Jeff Lamp,83.4,3,1,0.7,0.6,0,-0.1
Dickey Simpkins,82.3,2.9,1.2,0.7,0.6,0.1,-0.7
Darius Miller,80.5,3,1.6,0.8,0.5,-0.1,NA
Sam Young,77.7,2.9,1.2,0.9,0.2,NA,NA
Walter McCarty,76.4,2.9,1.8,0.7,0.5,0,-0.2
John Trapp,75.0,3.3,1.2,1.2,0.6,0,NA
Shawne Williams,74.9,2.5,1.4,0.7,0.7,0,-0.4
Sam Dekker,74.1,3.1,1.2,1,0,NA,NA
