Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Bill Turner,,3.1,1.1,0.7,0.5,-0.2,-0.4,NA
Rowland Garrett,88.3,3.1,1.1,0.8,0.5,-0.1,NA,NA
Jeff Lamp,83.4,3,1,0.7,0.6,0,-0.1,NA
Darius Miller,80.5,3,1.6,0.8,0.5,-0.1,NA,NA
Sam Young,77.7,2.9,1.2,0.9,0.2,NA,NA,NA
John Trapp,75.0,3.3,1.2,1.2,0.6,0,NA,NA
Sam Dekker,74.1,3.1,1.2,1,0,NA,NA,NA
John Hummer,71.6,3.2,1.6,1,0.1,-0.3,-0.8,NA
Charles Jones,71.1,2.9,0.9,0.6,0.1,NA,NA,NA
Dickey Simpkins,70.2,2.9,1.2,0.7,0.6,0.1,0,-0.7
Barney Cable,69.9,3.3,1.6,0.7,0.4,0.3,0.1,NA
