Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,,OWS,DWS,WS,WS/48
1967-68,23,SFW,NBA,SF,42,482,10.6,0.469,0.382,NA,NA,NA,4.3,NA,0.1,0.7,0.7,0.074
1968-69,24,SFW,NBA,SF,79,1486,12.2,0.486,0.43,NA,NA,NA,6.4,NA,1.2,1.9,3.1,0.099
1969-70,25,TOT,NBA,PF-SF,72,1170,11,0.477,0.357,NA,NA,NA,4.7,NA,0.2,1,1.1,0.047
1969-70,25,SFW,NBA,SF,3,75,9.3,0.537,0.588,NA,NA,NA,1.7,NA,0.1,0.1,0.1,0.089
1969-70,25,CIN,NBA,PF,69,1095,11.1,0.475,0.348,NA,NA,NA,4.9,NA,0.1,0.9,1,0.044
1970-71,26,SFW,NBA,SF,18,200,6,0.358,0.244,NA,NA,9.2,5.4,NA,-0.5,0.1,-0.4,-0.097
1971-72,27,GSW,NBA,PF,62,597,8.8,0.445,0.293,NA,NA,9.8,4.8,NA,-0.2,0.7,0.5,0.041
1972-73,28,TOT,NBA,PF,21,125,6.8,0.344,0.121,NA,NA,9.9,11,NA,-0.4,0.2,-0.2,-0.093
1972-73,28,POR,NBA,PF,2,8,1.5,0.333,0,NA,NA,12.1,0,NA,0,0,0,-0.252
1972-73,28,LAL,NBA,PF,19,117,7.2,0.345,0.135,NA,NA,9.7,11.7,NA,-0.4,0.2,-0.2,-0.082
Career,NA,,NBA,,294,4060,10.7,0.465,0.363,NA,NA,9.7,5.5,NA,0.3,4.6,4.8,0.057
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 seasons,NA,"SFW,GSW",NBA,,204,2840,10.7,0.467,0.384,NA,NA,9.7,5.5,NA,0.6,3.5,4,0.068
1 season,NA,CIN,NBA,,69,1095,11.1,0.475,0.348,NA,NA,NA,4.9,NA,0.1,0.9,1,0.044
1 season,NA,LAL,NBA,,19,117,7.2,0.345,0.135,NA,NA,9.7,11.7,NA,-0.4,0.2,-0.2,-0.082
1 season,NA,POR,NBA,,2,8,1.5,0.333,0,NA,NA,12.1,0,NA,0,0,0,-0.252
