Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1958-59,26,NYK,NBA,SG,2,NA,21.5,5,10,0.5,4.5,5.5,0.818,2,1.5,3,14.5
1959-60,27,MNL,NBA,SG,9,NA,36.7,6.1,17,0.359,3.4,4.9,0.705,6.1,3.2,2.3,15.7
1960-61,28,LAL,NBA,SG,12,NA,30.9,3.6,9.3,0.387,3.1,4,0.771,3.7,4.2,3.5,10.3
1961-62,29,LAL,NBA,SG,13,NA,36.8,5.1,11.7,0.434,2.5,3,0.846,5.6,5,2.6,12.7
1962-63,30,LAL,NBA,SG,13,NA,24.4,2.5,6.2,0.395,3,3.7,0.813,3.5,2.8,2.8,7.9
1963-64,31,LAL,NBA,SG,3,NA,23,4.3,9,0.481,0.7,0.7,1,1.7,2,2.7,9.3
Career,NA,,NBA,,52,NA,30.9,4.2,10.5,0.403,2.9,3.7,0.786,4.3,3.6,2.8,11.3
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 seasons,NA,"MNL,LAL",NBA,,50,NA,31.3,4.2,10.5,0.399,2.8,3.6,0.785,4.4,3.7,2.8,11.2
1 season,NA,NYK,NBA,,2,NA,21.5,5,10,0.5,4.5,5.5,0.818,2,1.5,3,14.5
