,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1958-59,26,NYK,NBA,,5,,5,7,,,2,15
1959-60,27,TOT,NBA,,11,,8,11,,,5,30
1959-60,27,MNL,NBA,,11,,8,11,,,5,30
1960-61,28,LAL,NBA,,7,,8,9,,,6,22
1961-62,29,LAL,NBA,,8,,6,8,,,4,21
1962-63,30,LAL,NBA,,5,10,6,8,6,,4,14
1963-64,31,LAL,NBA,,7,11,1,1,4,2,5,15
Career,,,,,11,,8,11,,,6,30
5 Seasons,,"LAL,MNL",NBA,,11,,8,11,,,6,30
1 Season,,NYK,NBA,,5,,5,7,,,2,15
