Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3
Michael Wilson,,0.4,-0.1,-0.1
Joe Young,69.6,0.5,-0.1,-0.1
Ron Baker,66.2,0.5,-0.1,-0.1
Rich Rinaldi,52.4,0.4,0,-0.2
Paul McCracken,34.5,0.5,0,0
Corey Beck,30.4,0.4,0.2,-0.1
Clay Johnson,19.6,0.6,0.1,0
Carl Thomas,19.6,0.7,0,0
Darrun Hilliard,16.8,0.5,0,-0.2
Elijah Millsap,16.5,0.4,0.1,-0.1
Michael Phelps,11.2,0.3,0.1,-0.1
