Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Arvydas Sabonis,,9.7,8.4,7.5,7.1,5.8,4.9,3.7
Mehmet Okur,94.3,9.3,8.8,7.4,7,6.7,5.9,3.8
Arnie Risen,94.0,10.6,9.3,7.8,6.8,5.8,4.6,3.9
Swen Nater,93.4,9.7,8.7,6.9,6.8,6.8,5.5,3.1
Vlade Divac,92.9,9.5,8.3,7.4,6.1,5.6,5,1.8
Billy Paultz,91.2,9,8.9,8.7,7,5.6,5.3,5
Jonas Valančiūnas,90.8,8.2,7.9,7.6,6.9,6.7,4.2,3.9
Joakim Noah,90.7,11.2,9,7.3,6.7,6.4,6.2,3.8
Dave Robisch,90.6,10.1,9.1,8.5,7.8,5.2,5,2.3
Jim Eakins,90.4,9,8.5,7.6,7.4,7.4,6.6,2.9
Tree Rollins,89.3,9.2,7.3,6.4,6.4,5.5,5,2.6
